term,best_rank,worst_rank,median_rank,months_present,first_month,last_month,trend_ratio,is_category,seeds,themes
saint patricks day decorations,9460.0,79944.0,23788.0,3,2025-01,2025-03,,False,saint,信仰精神
communion cups and wafer set,9465.0,22125.0,16872.0,12,2025-01,2025-12,1.492133891213389,False,communion,身份仪式
mermaid tail,9669.0,36802.0,16637.5,12,2025-01,2025-12,2.0837746750120365,False,mermaid,风格审美
firefighter costume for kids,9939.0,164893.0,115253.0,11,2025-01,2025-12,0.7929338064952756,False,firefighter,军警职业
mre meals military 2025,9979.0,36226.0,20279.0,11,2025-02,2025-12,1.2849497699746502,False,military,军警职业
anxiety,10368.0,50694.0,33462.5,12,2025-01,2025-12,1.3592610730220915,False,anxiety,心理健康
gothic dresses for women,10715.0,114023.0,77474.0,12,2025-01,2025-12,0.8790743936343591,False,gothic,风格审美
urns for human ashes,10751.0,114648.0,75881.5,12,2025-01,2025-12,0.13304084134460287,False,ashes,纪念哀悼
silent hill nurse costume,11067.0,93887.0,26796.0,3,2025-08,2025-10,,False,nurse,军警职业
y2k sunglasses,11212.0,41440.0,13590.5,12,2025-01,2025-12,1.5503132910079256,False,y2k,风格审美
first communion dress for girls,11213.0,152485.0,34169.0,7,2025-01,2025-10,7.55381447441113,False,communion,身份仪式
first communion decorations,11264.0,146097.0,38980.0,4,2025-02,2025-05,,False,communion,身份仪式
sympathy cards,11301.0,26455.0,17626.0,12,2025-01,2025-12,2.230299380591879,False,sympathy,纪念哀悼
beyond anxiety martha beck,11321.0,178586.0,57382.0,3,2025-01,2025-03,,False,anxiety,心理健康
breast cancer awareness,11833.0,93583.0,17761.0,3,2025-08,2025-10,,False,awareness,疾病康复
nurse badge reel,11934.0,17564.0,13673.5,12,2025-01,2025-12,1.2693886526902214,False,nurse,军警职业
purity coffee,12732.0,29035.0,23536.5,12,2025-01,2025-12,0.9597603854668577,False,purity,承诺誓约
military movies,12793.0,72941.0,29357.0,12,2025-01,2025-12,4.307402760351318,False,military,军警职业
anxiety doechii,12805.0,178232.0,66373.0,6,2025-02,2025-07,1.9998416092500197,False,anxiety,心理健康
goth,12826.0,22543.0,19010.0,12,2025-01,2025-12,0.6957652840005781,False,goth,风格审美
urn for ashes adult male,12945.0,58282.0,16911.5,12,2025-01,2025-12,2.917166173178306,False,ashes,纪念哀悼
firefighter hat,12949.0,96500.0,54724.5,2,2025-09,2025-10,,False,firefighter,军警职业
my best friends are balls book,13267.0,124725.0,68943.0,3,2025-02,2025-04,,False,best friend*,关系联结
engagement party decorations,13641.0,32260.0,18336.5,12,2025-01,2025-12,1.1495301647827862,False,engagement,承诺誓约
breast cancer awareness decorations,14106.0,18866.0,16486.0,2,2025-09,2025-10,,False,awareness,疾病康复
nurse bag,14277.0,26179.0,18937.0,12,2025-01,2025-12,1.4046424469564167,False,nurse,军警职业
shamrock decorations,14582.0,26552.0,20567.0,2,2025-02,2025-03,,False,shamrock,宗教扩展
saint patricks day accessories,14823.0,53298.0,34060.5,2,2025-02,2025-03,,False,saint,信仰精神
mermaid costume,14871.0,197324.0,102858.5,6,2025-05,2025-10,0.19507575757575757,False,mermaid,风格审美
belly button piercing,14892.0,25458.0,20629.0,12,2025-01,2025-12,1.0548400286210773,False,belly button,身体珠宝穿孔
police officer costume for girls,14975.0,68408.0,41691.5,2,2025-09,2025-10,,False,police officer,军警职业
the little mermaid,15308.0,49320.0,22635.0,12,2025-01,2025-12,2.3123945489941597,False,mermaid,风格审美
vestidos de 15 a?os quincea?era,15365.0,35445.0,18067.0,4,2025-01,2025-07,,False,quincea*,身份仪式
prayer mat,15515.0,74942.0,61126.0,12,2025-01,2025-12,3.128095975232198,False,prayer,信仰精神
mental health awareness shirt,15841.0,44358.0,30099.5,2,2025-04,2025-05,,False,awareness;mental health,心理健康;疾病康复
divorced sistas tyler perry,15923.0,95097.0,19112.0,3,2025-06,2025-08,,False,divorce*,人生重启
military backpack,16104.0,31328.0,20070.0,12,2025-01,2025-12,1.6029551954242136,False,military,军警职业
faith over fear hoodie,16186.0,163046.0,56510.0,12,2025-01,2025-12,0.859424683871922,False,faith,信仰精神
y2k accessories,16235.0,23668.0,20808.5,12,2025-01,2025-12,1.0355542846249166,False,y2k,风格审美
deet mosquito repellent,16274.0,109384.0,53321.0,12,2025-01,2025-12,1.4944442869695853,False,mosquito repellent,功能康复珠宝
urn for ashes for women,16332.0,146851.0,21919.0,12,2025-01,2025-12,6.12808246483285,False,ashes,纪念哀悼
prayer journal,16597.0,38663.0,28790.0,12,2025-01,2025-12,1.1180188861052225,False,prayer,信仰精神
tyler perry's divorce in the black,16681.0,136281.0,54541.5,12,2025-01,2025-12,4.908939692855209,False,divorce*,人生重启
mermaid,16920.0,25132.0,20097.5,12,2025-01,2025-12,1.3031194820482637,False,mermaid,风格审美
gothic decor,17263.0,27764.0,23658.5,12,2025-01,2025-12,0.8720148125755743,False,gothic,风格审美
c section recovery must haves,17283.0,29751.0,18569.0,12,2025-01,2025-12,1.6737210369350768,False,recovery,戒断康复
y2k hoodie,17418.0,68014.0,36630.5,12,2025-01,2025-12,1.5481255834520709,False,y2k,风格审美
mermaid toys,17509.0,46435.0,23212.5,12,2025-01,2025-12,0.5549534488225291,False,mermaid,风格审美
anxiety relief for dogs diffuser,17580.0,17580.0,17580.0,1,2025-01,2025-01,,False,anxiety,心理健康
mermaid man costume,17862.0,104816.0,61339.0,2,2025-09,2025-10,,False,mermaid,风格审美
love and friendship,18101.0,195261.0,138861.0,7,2025-01,2025-08,1.0733539294690373,False,friendship,关系联结
shamrock cookie cutter,18107.0,32102.0,25104.5,2,2025-02,2025-03,,False,shamrock,宗教扩展
firefighter costume,18193.0,98557.0,58375.0,2,2025-09,2025-10,,False,firefighter,军警职业
bad faith,18254.0,155919.0,104835.0,10,2025-01,2025-10,4.077500341110657,False,faith,信仰精神
retirement card,18305.0,69840.0,43440.0,12,2025-01,2025-12,1.4794960014878185,False,retirement,成就节点
initial d,18333.0,53887.0,29582.5,12,2025-01,2025-12,2.3724794162599223,False,initial,个性化定制
king of ashes,18419.0,94349.0,42893.0,8,2025-05,2025-12,2.0736459147937847,False,ashes,纪念哀悼
bug md squito stickers mosquito repellent patch,18509.0,120214.0,29602.0,5,2025-04,2025-08,,False,mosquito repellent,功能康复珠宝
barbie mermaid,18643.0,121931.0,69894.0,12,2025-01,2025-12,0.24452179343533603,False,mermaid,风格审美
mermaid accessories women,18713.0,199024.0,178061.0,7,2025-04,2025-10,0.5133673370146641,False,mermaid,风格审美
my best friend's wedding,19040.0,85797.0,49394.0,12,2025-01,2025-12,2.7522557799039804,False,best friend*,关系联结
dog calming pheromone anxiety diffuser,19421.0,19421.0,19421.0,1,2025-01,2025-01,,False,anxiety,心理健康
goth dress,19490.0,67829.0,38613.0,12,2025-01,2025-12,1.5279150560258354,False,goth,风格审美
communion wafers,19531.0,61336.0,44997.5,12,2025-01,2025-12,1.3693863359796026,False,communion,身份仪式
sexy nurse costume outfit for women,19568.0,123418.0,71493.0,2,2025-09,2025-10,,False,nurse,军警职业
engagement ornament 2025,19603.0,148175.0,29454.0,3,2025-10,2025-12,,False,engagement,承诺誓约
divorced sistas,19636.0,142478.0,57386.0,3,2025-06,2025-08,,False,divorce*,人生重启
mosquito repellent spray,20175.0,193752.0,50415.0,9,2025-03,2025-11,0.9891892570596286,False,mosquito repellent,功能康复珠宝
saint patricks day outfit women,20189.0,23033.0,21611.0,2,2025-02,2025-03,,False,saint,信仰精神
mermaid tail blanket,20416.0,124536.0,75389.0,12,2025-01,2025-12,0.29433484339227434,False,mermaid,风格审美
down syndrome awareness shirts,20710.0,188857.0,104783.5,2,2025-03,2025-10,,False,awareness,疾病康复
yves saint laurent cologne for men,21247.0,44575.0,33494.0,12,2025-01,2025-12,0.6608044409350848,False,saint,信仰精神
y2k dress,21625.0,59513.0,31748.5,12,2025-01,2025-12,1.3366594250492598,False,y2k,风格审美
castor oil belly button patch,21655.0,90024.0,42039.5,12,2025-01,2025-12,3.2810026385224274,False,belly button,身体珠宝穿孔
anxiety bookshelf,21827.0,44011.0,30672.0,12,2025-01,2025-12,0.8362495072323134,False,anxiety,心理健康
nurse shoes,21959.0,41084.0,32544.5,12,2025-01,2025-12,1.098069728172698,False,nurse,军警职业
autism awareness,22145.0,92713.0,36487.0,3,2025-02,2025-04,,False,awareness,疾病康复
mental health awareness items,22197.0,116295.0,25834.0,3,2025-03,2025-05,,False,awareness;mental health,心理健康;疾病康复
murphys naturals mosquito repellent,22320.0,144441.0,41457.0,6,2025-04,2025-09,0.9225543163215619,False,mosquito repellent,功能康复珠宝
crown of light and ashes,22371.0,140028.0,42208.0,6,2025-06,2025-12,0.40350452281414867,False,ashes,纪念哀悼
y2k belt,22514.0,50698.0,34184.5,12,2025-01,2025-12,0.8707752083138283,False,y2k,风格审美
suicide awareness shirt,22810.0,185863.0,131233.0,4,2025-03,2025-10,,False,awareness,疾病康复
vestidos de 15 años quinceañera,22824.0,95866.0,33792.5,8,2025-04,2025-12,1.5602084083917633,False,quincea*,身份仪式
solar recovery spray,23333.0,135377.0,48064.5,6,2025-03,2025-08,0.7448179475078957,False,recovery,戒断康复
mosquito repellent outdoor,24380.0,188987.0,58867.0,8,2025-04,2025-11,2.0026538573817043,False,mosquito repellent,功能康复珠宝
nurse shoes for women,24525.0,69549.0,32584.0,12,2025-01,2025-12,2.2972534016674486,False,nurse,军警职业
natpat mosquito repellent patches,24666.0,134184.0,71568.0,5,2025-04,2025-08,,False,mosquito repellent,功能康复珠宝
goth accessories,24736.0,42219.0,37053.5,12,2025-01,2025-12,0.61674787427152,False,goth,风格审美
mre meals military 2024,25031.0,77709.0,51370.0,2,2025-01,2025-02,,False,military,军警职业
y2k outfits for women,25191.0,167368.0,53008.0,11,2025-02,2025-12,0.26173533758696516,False,y2k,风格审美
bogg bag large,25279.0,170855.0,81237.5,12,2025-01,2025-12,0.7450596311191235,False,bogg bag,charm潮流
retirement decorations,25300.0,80455.0,47456.5,12,2025-01,2025-12,1.5867764993026499,False,retirement,成就节点
black gothic dress,25562.0,185079.0,83373.0,4,2025-07,2025-10,,False,gothic,风格审美
bogg bag cup holder,25709.0,197419.0,84336.0,11,2025-01,2025-12,1.7713852913736545,False,bogg bag,charm潮流
toddler firefighter costume,26167.0,176418.0,58211.0,3,2025-08,2025-10,,False,firefighter,军警职业
divorced,26662.0,161426.0,60257.0,3,2025-06,2025-08,,False,divorce*,人生重启
mermaid man and barnacle boy costumes,26844.0,169429.0,98136.5,2,2025-09,2025-10,,False,mermaid,风格审美
mosquito repellent for kids,26848.0,172579.0,71298.0,7,2025-04,2025-10,2.49741569225555,False,mosquito repellent,功能康复珠宝
yves saint laurent,27033.0,86484.0,63472.5,12,2025-01,2025-12,1.8666839244110796,False,saint,信仰精神
y2k jeans,27245.0,52271.0,43763.0,12,2025-01,2025-12,0.6319712006226892,False,y2k,风格审美
engagement dresses for women,27286.0,116108.0,32515.0,12,2025-01,2025-12,3.5968915138327633,False,engagement,承诺誓约
the saint val kilmer,27463.0,27463.0,27463.0,1,2025-04,2025-04,,False,saint,信仰精神
kids police officer costume,27651.0,198890.0,166419.0,6,2025-02,2025-10,0.3469893165715301,False,police officer,军警职业
communion cups,27756.0,57113.0,48664.5,12,2025-01,2025-12,1.261972863953062,False,communion,身份仪式
y2k top,27777.0,86695.0,44866.0,12,2025-01,2025-12,1.1405288280366788,False,y2k,风格审美
nat pat mosquito repellent stickers,27804.0,85399.0,57132.5,4,2025-05,2025-08,,False,mosquito repellent,功能康复珠宝
little mermaid costume,28417.0,112136.0,45014.0,3,2025-08,2025-10,,False,mermaid,风格审美
shamrock sweater,28530.0,153167.0,52850.0,3,2025-01,2025-03,,False,shamrock,宗教扩展
initial stockings christmas,28588.0,42766.0,35677.0,2,2025-11,2025-12,,False,initial,个性化定制
mermaid tail for swimming kids,28705.0,166388.0,70656.0,4,2025-05,2025-08,,False,mermaid,风格审美
y2k shirts,28768.0,86940.0,58407.0,12,2025-01,2025-12,0.4869514221483726,False,y2k,风格审美
nurse,29037.0,53795.0,37435.5,12,2025-01,2025-12,0.943787393905663,False,nurse,军警职业
rules of engagement,29190.0,101773.0,48091.5,12,2025-01,2025-12,2.2141521503789,False,engagement,承诺誓约
bogg bag phone holder,29278.0,160140.0,74830.0,9,2025-01,2025-12,0.8084486880142318,False,bogg bag,charm潮流
gothic home decor,29720.0,79321.0,58180.0,12,2025-01,2025-12,1.0563943084487222,False,gothic,风格审美
mermaid party favors,29782.0,163196.0,39683.5,12,2025-01,2025-12,2.4607282502443795,False,mermaid,风格审美
my best friend's exorcism,30079.0,179207.0,142930.0,5,2025-01,2025-08,,False,best friend*,关系联结
fantasy football magazine 2025,30127.0,121384.0,56111.0,3,2025-06,2025-08,,False,fantasy football,运动兴趣
shamrock stickers,30132.0,53718.0,41925.0,2,2025-02,2025-03,,False,shamrock,宗教扩展
shamrock glasses,30236.0,96933.0,63584.5,2,2025-02,2025-03,,False,shamrock,宗教扩展
urns for human ashes adult man,30274.0,186011.0,40046.0,12,2025-01,2025-12,4.658482960791499,False,ashes,纪念哀悼
mermaid costume accessories,30292.0,146349.0,88320.5,2,2025-09,2025-10,,False,mermaid,风格审美
2025 fantasy football draft board,30572.0,109857.0,70214.5,2,2025-07,2025-08,,False,fantasy football,运动兴趣
martha beck beyond anxiety,30710.0,79854.0,55282.0,2,2025-01,2025-02,,False,anxiety,心理健康
baptism decorations,30732.0,141826.0,40215.5,12,2025-01,2025-12,1.8942782055419798,False,baptism,身份仪式
first communion veil,30957.0,155013.0,69857.0,3,2025-03,2025-05,,False,communion,身份仪式
hoodies y2k,30998.0,66053.0,44751.0,12,2025-01,2025-12,1.1207674943566592,False,y2k,风格审美
y2k tops for women,31100.0,122545.0,50435.0,12,2025-01,2025-12,0.9032618192408504,False,y2k,风格审美
prayer board supplies,31207.0,104003.0,91232.5,6,2025-01,2025-12,0.9981711857724823,False,prayer,信仰精神
divorced sisters tyler perry,31342.0,181858.0,40081.0,3,2025-07,2025-09,,False,divorce*,人生重启
killing faith,31350.0,118945.0,80992.0,3,2025-10,2025-12,,False,faith,信仰精神
gothic,31625.0,70950.0,59475.5,12,2025-01,2025-12,0.6361546603162003,False,gothic,风格审美
faith based,32004.0,140847.0,48336.5,12,2025-01,2025-12,2.5820960698689954,False,faith,信仰精神
natural mosquito repellent,32122.0,165505.0,79468.0,7,2025-04,2025-10,1.9035302341838518,False,mosquito repellent,功能康复珠宝
prayer board supplies for women,32157.0,140265.0,73149.0,3,2025-01,2025-03,,False,prayer,信仰精神
saint patricks day shirt women,32386.0,138060.0,85223.0,2,2025-02,2025-03,,False,saint,信仰精神
sympathy cards with envelopes,32554.0,64887.0,45260.5,12,2025-01,2025-12,1.441783768282191,False,sympathy,纪念哀悼
long distance robot,32727.0,173446.0,111868.0,7,2025-06,2025-12,2.351200099490113,False,long distance,关系联结
little mermaid costume women,32785.0,106937.0,69861.0,2,2025-09,2025-10,,False,mermaid,风格审美
cliganic mosquito repellent patches,32814.0,62334.0,52371.0,3,2025-05,2025-07,,False,mosquito repellent,功能康复珠宝
y2k pants,33072.0,56314.0,42330.5,12,2025-01,2025-12,0.7743125187285342,False,y2k,风格审美
goth clothes,33176.0,48091.0,44514.0,12,2025-01,2025-12,0.945456090771944,False,goth,风格审美
recovery mud mask,33309.0,98847.0,49243.5,4,2025-01,2025-04,,False,recovery,戒断康复
police officer costume,33386.0,132109.0,82747.5,2,2025-09,2025-10,,False,police officer,军警职业
military gear,33516.0,51093.0,44127.5,12,2025-01,2025-12,1.3063655711877056,False,military,军警职业
nurse hat,33643.0,196287.0,162700.0,7,2025-02,2025-10,0.4275908514000052,False,nurse,军警职业
evil eye,33856.0,48149.0,36925.0,12,2025-01,2025-12,1.3407997298590202,False,evil eye,信仰精神
mental health journal,33926.0,75996.0,64256.0,12,2025-01,2025-12,1.5743518450769494,False,mental health,心理健康
graphic tees y2k,34241.0,176605.0,110914.0,12,2025-01,2025-12,1.6317777229507886,False,y2k,风格审美
mosquito repellent indoor,34303.0,106389.0,49717.5,8,2025-04,2025-11,0.8849706129303107,False,mosquito repellent,功能康复珠宝
mother daughter matching dresses,34718.0,199531.0,100459.0,8,2025-02,2025-09,3.427531129931001,False,mother daughter,关系联结
dog anxiety relief,34795.0,79392.0,52446.0,12,2025-01,2025-12,1.3903418147470334,False,anxiety,心理健康
nurse pens,34884.0,73481.0,54895.5,12,2025-01,2025-12,0.7884446492074233,False,nurse,军警职业
autism awareness stuff,35087.0,189714.0,48332.0,3,2025-03,2025-05,,False,awareness,疾病康复
hysterectomy recovery must haves,35172.0,49729.0,39356.0,12,2025-01,2025-12,1.055198842727711,False,recovery,戒断康复
faith over fear shirt,35269.0,172374.0,63020.0,12,2025-01,2025-12,0.6336316788717115,False,faith,信仰精神
y2k shorts,35291.0,194744.0,60930.5,12,2025-01,2025-12,0.9567842524499397,False,y2k,风格审美
military costume,35351.0,90603.0,62977.0,2,2025-09,2025-10,,False,military,军警职业
recovery sandals women,35699.0,194076.0,62540.0,9,2025-03,2025-11,2.118062510792609,False,recovery,戒断康复
room decor y2k,35743.0,61415.0,44186.0,12,2025-01,2025-12,1.5778303125820856,False,y2k,风格审美
mermaid backpack,35962.0,139958.0,43144.0,3,2025-06,2025-08,,False,mermaid,风格审美
mini bogg bag,36066.0,157765.0,71869.5,12,2025-01,2025-12,0.8297692615480372,False,bogg bag,charm潮流
divorce sistas tyler perry,36080.0,106368.0,71224.0,2,2025-06,2025-07,,False,divorce*,人生重启
matching couples pajamas,36110.0,172237.0,121659.0,5,2025-02,2025-12,,False,matching couple*,关系联结
military watches for men,36600.0,63746.0,39931.0,12,2025-01,2025-12,1.5840155331654073,False,military,军警职业
sweet 16,36699.0,102279.0,50918.0,12,2025-01,2025-12,1.6982348320317915,False,sweet 16,身份仪式
faith shirts for women,36864.0,133201.0,73833.0,11,2025-02,2025-12,0.6518642480749883,False,faith,信仰精神
mermaid pool toys,37027.0,196630.0,77902.5,6,2025-03,2025-08,0.6362653836767423,False,mermaid,风格审美
mermaid hair accessories,37058.0,170309.0,154027.0,6,2025-05,2025-10,0.7081277259558754,False,mermaid,风格审美
anxiety costume adult,37167.0,153653.0,95410.0,2,2025-09,2025-10,,False,anxiety,心理健康
sexy nurse costume,37234.0,89837.0,63535.5,2,2025-09,2025-10,,False,nurse,军警职业
goth boots,37264.0,88336.0,73907.5,12,2025-01,2025-12,0.8213265077905618,False,goth,风格审美
fantasy football,37389.0,198200.0,113729.5,8,2025-01,2025-12,1.3908803556852325,False,fantasy football,运动兴趣
shamrock jersey,37609.0,37609.0,37609.0,1,2025-10,2025-10,,False,shamrock,宗教扩展
faith based movies on prime,37702.0,131319.0,46002.0,3,2025-01,2025-03,,False,faith,信仰精神
leg warmers y2k,37779.0,148961.0,98467.5,12,2025-01,2025-12,0.32855517247235855,False,y2k,风格审美
engagement ornament,37941.0,54329.0,46135.0,2,2025-11,2025-12,,False,engagement,承诺誓约
y2k purse,38037.0,70903.0,50684.5,12,2025-01,2025-12,0.702405367397164,False,y2k,风格审美
divorce,38122.0,161779.0,81916.0,12,2025-01,2025-12,1.330634651080131,False,divorce*,人生重启
mermaid crown,38332.0,194662.0,143154.5,6,2025-05,2025-10,0.7199953605469096,False,mermaid,风格审美
keeping faith,38379.0,149446.0,93912.5,2,2025-09,2025-10,,False,faith,信仰精神
bioma recovery oil,38407.0,38407.0,38407.0,1,2025-01,2025-01,,False,recovery,戒断康复
prayer board,38440.0,177015.0,145325.0,12,2025-01,2025-12,1.4064282418542553,False,prayer,信仰精神
fake septum,38471.0,69127.0,48764.5,12,2025-01,2025-12,1.3928571428571428,False,septum,身体珠宝穿孔
shamrock shirt,38511.0,135993.0,87252.0,2,2025-02,2025-03,,False,shamrock,宗教扩展
military boots,38643.0,53360.0,43867.0,12,2025-01,2025-12,1.3028917418285053,False,military,军警职业
mermaid top women,38780.0,119515.0,79147.5,2,2025-09,2025-10,,False,mermaid,风格审美
bogg bag small,38796.0,171193.0,99352.5,12,2025-01,2025-12,0.5269736842105263,False,bogg bag,charm潮流
gothic skirt,38876.0,189249.0,159934.0,9,2025-04,2025-12,0.9964585075901835,False,gothic,风格审美
gothic christmas decor,39028.0,139328.0,89178.0,2,2025-11,2025-12,,False,gothic,风格审美
the saint penelope sky,39268.0,197924.0,71894.0,3,2025-03,2025-05,,False,saint,信仰精神
mermaid doll,39277.0,124017.0,88012.5,12,2025-01,2025-12,0.38959322661075035,False,mermaid,风格审美
breast cancer awareness socks,39754.0,66796.0,53275.0,2,2025-09,2025-10,,False,awareness,疾病康复
barbie mermaid dolls,39865.0,181830.0,97662.5,6,2025-06,2025-12,0.3741847792961369,False,mermaid,风格审美
magnesium spray for sleep and anxiety,39946.0,77398.0,54978.0,4,2025-01,2025-04,,False,anxiety,心理健康
proud mom of a 2025 graduate shirt,40104.0,118312.0,79208.0,2,2025-04,2025-05,,False,graduate,成就节点
saint,40130.0,132926.0,95302.0,12,2025-01,2025-12,1.43763413359428,False,saint,信仰精神
recovery suit for dogs,40341.0,72336.0,53104.5,12,2025-01,2025-12,1.664907278682344,False,recovery,戒断康复
the graduate,40519.0,181408.0,104273.0,11,2025-01,2025-11,1.3711484863046612,False,graduate,成就节点
shamrock garland,41058.0,95593.0,68325.5,2,2025-02,2025-03,,False,shamrock,宗教扩展
lego military,41089.0,71317.0,62552.5,12,2025-01,2025-12,0.7367437551906982,False,military,军警职业
shamrock ornaments,41602.0,139666.0,90634.0,2,2025-01,2025-02,,False,shamrock,宗教扩展
engagement card,41617.0,105653.0,74057.5,12,2025-01,2025-12,0.7419702223934714,False,engagement,承诺誓约
girls police officer costume,41644.0,148978.0,95311.0,2,2025-09,2025-10,,False,police officer,军警职业
ursa major golden hour recovery cream,41740.0,191315.0,123424.0,10,2025-01,2025-12,2.0847261316345906,False,recovery,戒断康复
dog calming chews - anxiety relief treats,41866.0,193032.0,54144.0,8,2025-01,2025-08,0.8894795901473482,False,anxiety,心理健康
outdoor mosquito repellent for patio,41942.0,116185.0,60050.0,5,2025-04,2025-08,,False,mosquito repellent,功能康复珠宝
